Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilitaet_s;raw;resp;response
92,072;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
93,073;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
94,074;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
95,075;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
96,075;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
97,076;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
98,076;896,89000;10,00;10,00;Einlass;;b'0, 8,9689E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9689E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9689E+02,2, 1,3652E+00,5, 1,0000E+03
99,077;896,87000;10,00;10,00;Einlass;;b'0, 8,9687E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9687E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9687E+02,2, 1,3652E+00,5, 1,0000E+03
100,079;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
101,080;896,86000;10,00;10,00;Einlass;;b'0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9686E+02,2, 1,3652E+00,5, 1,0000E+03
102,081;896,82000;10,00;10,00;Einlass;;b'0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9682E+02,2, 1,3652E+00,5, 1,0000E+03
103,082;896,81000;10,00;10,00;Einlass;;b'0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03\r\n';"0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
";0, 8,9681E+02,2, 1,3652E+00,5, 1,0000E+03
