Zeit_s;Druck_mBar;V_Durchlass;V_Einlass;Modus;Dauer bis Druckstabilität_s
457,838;882,66000;10,00;8,00;Einlass;
458,826;882,63000;10,00;8,00;Einlass;
459,814;882,59000;10,00;8,00;Einlass;
460,801;882,58000;10,00;8,00;Einlass;
461,789;882,58000;10,00;8,00;Einlass;
462,778;882,65000;10,00;8,00;Einlass;
463,765;882,63000;10,00;8,00;Einlass;
464,753;882,62000;10,00;8,00;Einlass;
465,741;882,65000;10,00;8,00;Einlass;
466,729;882,63000;10,00;8,00;Einlass;
467,718;882,61000;10,00;8,00;Einlass;
468,706;882,65000;10,00;8,00;Einlass;
469,693;882,63000;10,00;8,00;Einlass;
470,681;882,60000;10,00;8,00;Einlass;
471,669;882,58000;10,00;8,00;Einlass;
472,657;882,55000;10,00;8,00;Einlass;
473,644;882,57000;10,00;8,00;Einlass;
474,633;882,62000;10,00;8,00;Einlass;
475,621;882,62000;10,00;8,00;Einlass;
476,608;882,62000;10,00;8,00;Einlass;
477,596;882,62000;10,00;8,00;Einlass;
478,585;882,59000;10,00;8,00;Einlass;
479,573;882,61000;10,00;8,00;Einlass;
480,560;882,61000;10,00;8,00;Einlass;
481,549;882,64000;10,00;8,00;Einlass;
482,537;882,66000;10,00;8,00;Einlass;
483,524;882,72000;10,00;8,00;Einlass;
484,512;882,74000;10,00;8,00;Einlass;
485,500;882,73000;10,00;8,00;Einlass;
486,488;882,67000;10,00;8,00;Einlass;
487,476;882,66000;10,00;8,00;Einlass;
488,464;882,66000;10,00;8,00;Einlass;
489,452;882,66000;10,00;8,00;Einlass;
490,440;882,66000;10,00;8,00;Einlass;
491,428;882,70000;10,00;8,00;Einlass;
492,416;882,73000;10,00;8,00;Einlass;
493,404;882,75000;10,00;8,00;Einlass;
494,392;882,71000;10,00;8,00;Einlass;
495,380;882,68000;10,00;8,00;Einlass;99,783
496,367;856,43000;10,00;7,50;Einlass;
497,356;820,12000;10,00;7,50;Einlass;
498,344;802,37000;10,00;7,50;Einlass;
499,332;793,77000;10,00;7,50;Einlass;
500,319;789,54000;10,00;7,50;Einlass;
501,307;787,40000;10,00;7,50;Einlass;
502,323;786,44000;10,00;7,50;Einlass;
503,283;785,80000;10,00;7,50;Einlass;
504,271;785,35000;10,00;7,50;Einlass;
505,259;785,04000;10,00;7,50;Einlass;
506,247;784,87000;10,00;7,50;Einlass;
507,235;784,71000;10,00;7,50;Einlass;
508,223;784,61000;10,00;7,50;Einlass;
509,210;784,57000;10,00;7,50;Einlass;
510,199;784,55000;10,00;7,50;Einlass;
511,187;784,55000;10,00;7,50;Einlass;
512,175;784,53000;10,00;7,50;Einlass;
513,163;784,47000;10,00;7,50;Einlass;
514,151;784,40000;10,00;7,50;Einlass;
515,139;784,36000;10,00;7,50;Einlass;
516,126;784,32000;10,00;7,50;Einlass;
517,115;784,33000;10,00;7,50;Einlass;
518,103;784,35000;10,00;7,50;Einlass;
519,090;784,33000;10,00;7,50;Einlass;
520,078;784,29000;10,00;7,50;Einlass;
521,066;784,27000;10,00;7,50;Einlass;
522,056;784,28000;10,00;7,50;Einlass;
523,042;784,27000;10,00;7,50;Einlass;
524,030;784,30000;10,00;7,50;Einlass;
525,018;784,31000;10,00;7,50;Einlass;
526,006;784,31000;10,00;7,50;Einlass;
526,994;784,31000;10,00;7,50;Einlass;
527,982;784,32000;10,00;7,50;Einlass;
528,970;784,31000;10,00;7,50;Einlass;
529,958;784,34000;10,00;7,50;Einlass;
530,946;784,32000;10,00;7,50;Einlass;
531,934;784,31000;10,00;7,50;Einlass;
532,922;784,30000;10,00;7,50;Einlass;
533,909;784,27000;10,00;7,50;Einlass;
534,898;784,27000;10,00;7,50;Einlass;
535,886;784,28000;10,00;7,50;Einlass;
536,873;784,25000;10,00;7,50;Einlass;
537,862;784,21000;10,00;7,50;Einlass;
538,850;784,20000;10,00;7,50;Einlass;
539,837;784,19000;10,00;7,50;Einlass;
540,825;784,15000;10,00;7,50;Einlass;
541,813;784,15000;10,00;7,50;Einlass;
542,801;784,14000;10,00;7,50;Einlass;
543,789;784,10000;10,00;7,50;Einlass;
544,778;784,09000;10,00;7,50;Einlass;
545,765;784,07000;10,00;7,50;Einlass;
546,753;784,04000;10,00;7,50;Einlass;
547,741;784,02000;10,00;7,50;Einlass;
548,729;784,02000;10,00;7,50;Einlass;
549,717;784,01000;10,00;7,50;Einlass;
550,704;783,99000;10,00;7,50;Einlass;
551,693;783,94000;10,00;7,50;Einlass;
552,681;783,93000;10,00;7,50;Einlass;
553,668;783,96000;10,00;7,50;Einlass;
554,657;783,94000;10,00;7,50;Einlass;
555,645;783,93000;10,00;7,50;Einlass;
556,633;783,93000;10,00;7,50;Einlass;
557,621;783,93000;10,00;7,50;Einlass;
558,608;783,97000;10,00;7,50;Einlass;
559,597;783,97000;10,00;7,50;Einlass;
560,584;783,94000;10,00;7,50;Einlass;
561,572;783,93000;10,00;7,50;Einlass;
562,561;783,93000;10,00;7,50;Einlass;
563,548;783,93000;10,00;7,50;Einlass;
564,536;783,97000;10,00;7,50;Einlass;
565,524;783,95000;10,00;7,50;Einlass;
566,512;783,93000;10,00;7,50;Einlass;
567,500;783,93000;10,00;7,50;Einlass;
